ops,op/s,pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total
16791.666666666668,107.58333333333333,107.58333333333333,107.58333333333333,131263.63333333333,131292.55000000002,131635.44166666668,131706.04166666666,131742.39166666666,131742.39166666666,1690928224.0,-0.19097583333333334,0.0,0.0,0.0,0.0,0.0,total
16900.666666666668,109.0,109.0,109.0,132109.35,132156.91666666666,132447.73333333334,132507.15833333333,132519.74166666667,132519.74166666667,1690928225.0,-0.18847250000000002,0.0,0.0,0.0,0.0,0.0,total
17004.833333333332,104.16666666666667,104.16666666666667,104.16666666666667,132929.15,132945.44999999998,133297.07499999998,133314.55833333332,133352.30000000002,133352.30000000002,1690928226.0,-0.18530916666666666,0.0,0.0,0.0,0.0,0.0,total
17116.25,111.41666666666667,111.41666666666667,111.41666666666667,133714.34166666667,133781.53333333333,134075.11666666667,134084.19999999998,134100.275,134100.275,1690928227.0,-0.1817458333333333,0.0,0.0,0.0,0.0,0.0,total
17225.666666666668,109.41666666666667,109.41666666666667,109.41666666666667,134504.88333333333,134614.79166666666,134840.58333333334,134879.01666666666,134894.4,134894.4,1690928228.0,-0.17932416666666665,0.0,0.0,0.0,0.0,0.0,total
17341.333333333332,115.66666666666667,115.66666666666667,115.66666666666667,135216.93333333332,135270.51666666666,135621.41666666666,135629.10833333334,135664.75833333333,135664.75833333333,1690928229.0,-0.17794833333333335,0.0,0.0,0.0,0.0,0.0,total
17442.25,100.91666666666667,100.91666666666667,100.91666666666667,135986.25833333333,135994.01666666666,136399.45833333334,136444.89166666666,136446.29166666666,136446.29166666666,1690928230.0,-0.17612833333333333,0.0,0.0,0.0,0.0,0.0,total
17553.666666666668,111.41666666666667,111.41666666666667,111.41666666666667,136787.50833333333,136840.59166666665,137166.32499999998,137204.76666666666,137235.53333333333,137235.53333333333,1690928231.0,-0.174225,0.0,0.0,0.0,0.0,0.0,total
17661.583333333332,107.91666666666667,107.91666666666667,107.91666666666667,137577.93333333332,137615.125,137982.10833333334,138023.35,138038.04166666666,138038.04166666666,1690928232.0,-0.17284166666666667,0.0,0.0,0.0,0.0,0.0,total
19059.545454545456,104.9090909090909,104.9090909090909,104.9090909090909,148325.97272727272,148421.16363636364,148689.6,148762.80000000002,148779.57272727272,148779.57272727272,1690928233.0,-0.17122363636363636,0.0,0.0,0.0,0.0,0.0,total
19166.727272727272,107.18181818181819,107.18181818181819,107.18181818181819,149066.35454545452,149096.07272727272,149477.35454545452,149523.1181818182,149539.9,149539.9,1690928234.0,-0.1692809090909091,0.0,0.0,0.0,0.0,0.0,total
20852.8,84.9,84.9,84.9,162324.21000000002,162331.32,162804.43,162848.06,162869.87,162869.87,1690928235.0,-0.30247999999999997,0.0,0.0,0.0,0.0,0.0,total
20962.6,109.8,109.8,109.8,163154.07,163193.66,163582.87999999998,163603.01,163644.96000000002,163644.96000000002,1690928236.0,-0.301768,0.0,0.0,0.0,0.0,0.0,total
21089.8,127.2,127.2,127.2,163957.31,164012.38999999998,164319.41,164352.97,164359.68,164359.68,1690928237.0,-0.300862,0.0,0.0,0.0,0.0,0.0,total
19285.454545454544,112.9090909090909,112.9090909090909,112.9090909090909,149899.30000000002,149968.67272727273,150215.84545454546,150233.2909090909,150248.54545454544,150248.54545454544,1690928238.0,-0.3368563636363637,0.0,0.0,0.0,0.0,0.0,total
19368.636363636364,83.18181818181819,83.18181818181819,83.18181818181819,150618.0909090909,150624.04545454544,151044.7090909091,151064.52727272728,151083.6,151083.6,1690928239.0,-0.3092672727272727,0.0,0.0,0.0,0.0,0.0,total
19486.454545454544,117.81818181818181,117.81818181818181,117.81818181818181,151446.83636363636,151523.41818181818,151806.54545454544,151836.2909090909,151856.69090909092,151856.69090909092,1690928240.0,-0.2976318181818182,0.0,0.0,0.0,0.0,0.0,total
