pk/s,row/s,mean,med,.95,.99,.999,max,time,stderr,errors,gc: #,max ms,sum ms,sdv ms,type total
34.42857142857143,34.42857142857143,128.24285714285716,58.23571428571428,437.50714285714287,576.4357142857143,661.3,661.3,1691056793.0,-0.1265864285714286,0.0,0.0,0.0,0.0,0.0,total
26.785714285714285,26.785714285714285,208.58571428571426,55.74285714285714,829.5500000000001,1045.9714285714285,1055.292857142857,1055.292857142857,1691056794.0,-0.4812407142857143,0.0,0.0,0.0,0.0,0.0,total
30.142857142857142,30.142857142857142,175.75714285714284,131.74285714285713,578.9214285714286,858.0142857142857,905.9785714285715,905.9785714285715,1691056795.0,-0.3498371428571429,0.0,0.0,0.0,0.0,0.0,total
38.6,38.6,130.04666666666668,64.66666666666667,388.64000000000004,679.76,681.1266666666667,681.1266666666667,1691056796.0,-0.29788200000000004,0.0,0.0,0.0,0.0,0.0,total
30.2,30.2,150.11333333333332,75.32666666666667,542.5866666666667,649.0733333333334,649.0733333333334,649.0733333333334,1691056797.0,-0.348678,0.0,0.0,0.0,0.0,0.0,total
25.8,25.8,207.81333333333333,157.71999999999997,554.6866666666666,711.2133333333334,711.2133333333334,711.2133333333334,1691056798.0,-0.4102086666666666,0.0,0.0,0.0,0.0,0.0,total
31.133333333333333,31.133333333333333,117.46,73.90666666666667,485.4733333333333,623.6133333333333,638.5066666666667,638.5066666666667,1691056799.0,-0.44694466666666666,0.0,0.0,0.0,0.0,0.0,total
23.941176470588236,23.941176470588236,267.0764705882353,146.61176470588236,605.4,710.635294117647,719.9058823529411,719.9058823529411,1691056800.0,-0.42072529411764703,0.0,0.0,0.0,0.0,0.0,total
40.8235294117647,40.8235294117647,146.5235294117647,57.6764705882353,642.7705882352941,969.3764705882354,1074.0,1074.0,1691056801.0,-0.4615541176470588,0.0,0.0,0.0,0.0,0.0,total
34.35294117647059,34.35294117647059,113.51764705882353,57.7235294117647,495.54117647058825,676.3470588235294,679.9823529411765,679.9823529411765,1691056802.0,-0.6630588235294118,0.0,0.0,0.0,0.0,0.0,total
27.529411764705884,27.529411764705884,167.38235294117646,63.082352941176474,708.3294117647059,840.964705882353,840.964705882353,840.964705882353,1691056803.0,-0.8153858823529412,0.0,0.0,0.0,0.0,0.0,total
34.1764705882353,34.1764705882353,115.87647058823529,60.69411764705882,459.74117647058824,574.1,592.064705882353,592.064705882353,1691056804.0,-1.109465294117647,0.0,0.0,0.0,0.0,0.0,total
31.0,31.0,181.66470588235296,66.69411764705882,707.5705882352942,849.2941176470588,866.7941176470588,866.7941176470588,1691056805.0,-1.5970117647058824,0.0,0.0,0.0,0.0,0.0,total
36.705882352941174,36.705882352941174,115.51176470588236,72.10588235294118,454.1941176470588,640.5411764705883,640.9882352941177,640.9882352941177,1691056806.0,0.35294823529411756,0.0,0.0,0.0,0.0,0.0,total
36.0,36.0,129.9764705882353,54.45882352941176,428.61764705882354,642.2823529411764,645.6705882352941,645.6705882352941,1691056807.0,0.10701058823529412,0.0,0.0,0.0,0.0,0.0,total
30.57894736842105,30.57894736842105,147.19473684210524,63.768421052631574,600.8000000000001,844.278947368421,849.4947368421052,849.4947368421052,1691056808.0,-0.1601547368421053,0.0,0.0,0.0,0.0,0.0,total
33.73684210526316,33.73684210526316,157.00526315789475,58.078947368421055,584.5684210526315,839.0157894736842,839.0157894736842,839.0157894736842,1691056809.0,-0.19384105263157894,0.0,0.0,0.0,0.0,0.0,total
33.63157894736842,33.63157894736842,106.57368421052632,77.7,299.76842105263154,540.3842105263158,552.5421052631579,552.5421052631579,1691056810.0,-0.21689052631578948,0.0,0.0,0.0,0.0,0.0,total
30.31578947368421,30.31578947368421,144.20000000000002,65.27368421052631,535.3684210526316,639.0947368421052,644.7894736842105,644.7894736842105,1691056811.0,-0.24139052631578944,0.0,0.0,0.0,0.0,0.0,total
43.526315789473685,43.526315789473685,128.06315789473683,63.01052631578948,489.07894736842104,748.7473684210527,806.3473684210527,806.3473684210527,1691056812.0,-0.26369947368421054,0.0,0.0,0.0,0.0,0.0,total
31.210526315789473,31.210526315789473,150.99473684210525,67.96315789473684,517.4473684210526,843.1052631578947,869.4315789473685,869.4315789473685,1691056813.0,-0.41632263157894733,0.0,0.0,0.0,0.0,0.0,total
27.6,27.6,178.83999999999997,65.6,535.04,647.78,664.14,664.14,1691056814.0,-0.37127499999999997,0.0,0.0,0.0,0.0,0.0,total
39.75,39.75,110.84,71.97999999999999,414.11499999999995,606.095,627.53,627.53,1691056815.0,-0.415393,0.0,0.0,0.0,0.0,0.0,total
32.85,32.85,163.79000000000002,67.025,587.71,783.0550000000001,808.245,808.245,1691056816.0,-0.469005,0.0,0.0,0.0,0.0,0.0,total
32.80952380952381,32.80952380952381,129.1809523809524,58.31904761904762,495.4238095238095,733.6809523809524,733.6809523809524,733.6809523809524,1691056817.0,-0.4419290476190476,0.0,0.0,0.0,0.0,0.0,total
35.476190476190474,35.476190476190474,136.96666666666664,123.43333333333332,388.25714285714287,562.9047619047619,572.8190476190475,572.8190476190475,1691056818.0,-0.4927361904761905,0.0,0.0,0.0,0.0,0.0,total
31.095238095238095,31.095238095238095,171.55714285714288,73.28095238095239,568.7904761904762,853.8857142857142,855.1333333333333,855.1333333333333,1691056819.0,-0.5559180952380952,0.0,0.0,0.0,0.0,0.0,total
34.333333333333336,34.333333333333336,146.96666666666664,61.280952380952385,536.9714285714285,735.4428571428571,761.8380952380952,761.8380952380952,1691056820.0,-0.7220728571428571,0.0,0.0,0.0,0.0,0.0,total
35.714285714285715,35.714285714285715,122.37619047619049,59.476190476190474,525.3571428571429,683.0190476190476,690.6857142857143,690.6857142857143,1691056821.0,-0.8406919047619047,0.0,0.0,0.0,0.0,0.0,total
34.476190476190474,34.476190476190474,113.83333333333333,67.54285714285714,428.7666666666667,592.1952380952381,593.2666666666667,593.2666666666667,1691056822.0,-1.7498238095238097,0.0,0.0,0.0,0.0,0.0,total
39.38095238095238,39.38095238095238,121.62857142857142,64.59047619047618,420.33809523809526,582.0,608.7619047619048,608.7619047619048,1691056823.0,-16.50516761904762,0.0,0.0,0.0,0.0,0.0,total
33.666666666666664,33.666666666666664,126.80952380952381,66.72857142857143,500.9428571428571,690.3333333333334,695.9,695.9,1691056824.0,3.2953566666666667,0.0,0.0,0.0,0.0,0.0,total
