time,avail
2023-12-25 13:34:31,13988.148
2023-12-25 13:34:30,13987.918
2023-12-25 13:34:29,13988.148
2023-12-25 13:34:28,13986.797
2023-12-25 13:34:27,13988.359
2023-12-25 13:34:26,13987.723
2023-12-25 13:34:25,13987.879
2023-12-25 13:34:24,13986.367
2023-12-25 13:34:23,13986.922
2023-12-25 13:34:22,13986.594
2023-12-25 13:34:21,13986.84
2023-12-25 13:34:20,13985.844
2023-12-25 13:34:19,13986.066
2023-12-25 13:34:18,13985.34
2023-12-25 13:34:17,13985.34
2023-12-25 13:34:16,13988.047
2023-12-25 13:34:15,13989.316
2023-12-25 13:34:14,13988.043
2023-12-25 13:34:13,13988.691
2023-12-25 13:34:12,13987.551
2023-12-25 13:34:11,13987.559
2023-12-25 13:34:10,13977.422
2023-12-25 13:34:09,13988.039
2023-12-25 13:34:08,13988.809
2023-12-25 13:34:07,13986.363
2023-12-25 13:34:06,13990.312
2023-12-25 13:34:05,13988.688
2023-12-25 13:34:04,13989.387
2023-12-25 13:34:03,13987.031
2023-12-25 13:34:02,13988.902
2023-12-25 13:34:01,13988.418
2023-12-25 13:34:00,13988.887
2023-12-25 13:33:59,13987.199
2023-12-25 13:33:58,13987.215
2023-12-25 13:33:57,13986.102
2023-12-25 13:33:56,13986.672
2023-12-25 13:33:55,13986.883
2023-12-25 13:33:54,13988.191
2023-12-25 13:33:53,13986.004
2023-12-25 13:33:52,13987.32
2023-12-25 13:33:51,13987.008
2023-12-25 13:33:50,13987.371
2023-12-25 13:33:49,13988.086
2023-12-25 13:33:48,13988.527
2023-12-25 13:33:47,13986.262
2023-12-25 13:33:46,13988.312
2023-12-25 13:33:45,13987.852
2023-12-25 13:33:44,13988.027
2023-12-25 13:33:43,13986.172
2023-12-25 13:33:42,13987.445
2023-12-25 13:33:41,13977.156
2023-12-25 13:33:40,13987.059
2023-12-25 13:33:39,13988.035
2023-12-25 13:33:38,13989.023
2023-12-25 13:33:37,13989.684
2023-12-25 13:33:36,13990.582
2023-12-25 13:33:35,13990.609
2023-12-25 13:33:34,13990.121
2023-12-25 13:33:33,13989.891
2023-12-25 13:33:32,13990.488
2023-12-25 13:33:31,13990.543
2023-12-25 13:33:30,13989.223
2023-12-25 13:33:29,13989.211
2023-12-25 13:33:28,13989.578
2023-12-25 13:33:27,13989.93
2023-12-25 13:33:26,13989.105
2023-12-25 13:33:25,13989.113
2023-12-25 13:33:24,13990.262
2023-12-25 13:33:23,13990.547
2023-12-25 13:33:22,13990.34
2023-12-25 13:33:21,13990.234
2023-12-25 13:33:20,13989.801
2023-12-25 13:33:19,13990.078
2023-12-25 13:33:18,13990.273
2023-12-25 13:33:17,13990.75
2023-12-25 13:33:16,13991.746
2023-12-25 13:33:15,13991.984
2023-12-25 13:33:14,13985.09
2023-12-25 13:33:13,13990.566
2023-12-25 13:33:12,13990.277
2023-12-25 13:33:11,13988.492
2023-12-25 13:33:10,13988.016
2023-12-25 13:33:09,13986.055
2023-12-25 13:33:08,13986.125
2023-12-25 13:33:07,13987.199
2023-12-25 13:33:06,13988.699
2023-12-25 13:33:05,13987.715
2023-12-25 13:33:04,13988.227
2023-12-25 13:33:03,13987.816
2023-12-25 13:33:02,13986.664
2023-12-25 13:33:01,13987.203
2023-12-25 13:33:00,13987.387
2023-12-25 13:32:59,13987.043
2023-12-25 13:32:58,13987.367
2023-12-25 13:32:57,13984.398
2023-12-25 13:32:56,13986.676
2023-12-25 13:32:55,13986.875
2023-12-25 13:32:54,13986.844
2023-12-25 13:32:53,13985.98
2023-12-25 13:32:52,13987.68
2023-12-25 13:32:51,13987.676
2023-12-25 13:32:50,13987.676
2023-12-25 13:32:49,13986.934
2023-12-25 13:32:48,13986.848
2023-12-25 13:32:47,13985.699
2023-12-25 13:32:46,13986.883
2023-12-25 13:32:45,13986.516
2023-12-25 13:32:44,13985.457
2023-12-25 13:32:43,13986.266
2023-12-25 13:32:42,13986.734
2023-12-25 13:32:41,13986.809
2023-12-25 13:32:40,13986.258
2023-12-25 13:32:39,13986.48
2023-12-25 13:32:38,13985.75
2023-12-25 13:32:37,13985.699
2023-12-25 13:32:36,13986.426
2023-12-25 13:32:35,13986.465
