Algorithm,Operation,Testbed,MSE,MAE,RMSE,MAPE,,,
KNN,Write,FIBRE-NG,0.001362043,0.02545775,0.036905868,6.852270517,,,
KNN,Write,FIBRE-NG,0.001281012,0.025778129,0.035791222,6.966009254,,,
KNN,Write,FIBRE-NG,0.001213095,0.02551071,0.034829514,6.488236324,,,
KNN,Write,FIBRE-NG,0.001231966,0.025149085,0.035099376,6.284886297,,,
KNN,Write,FIBRE-NG,0.00129482,0.02529119,0.035983609,6.498990889,,,
KNN,Write,FIBRE-NG,0.001161871,0.024591213,0.034086232,6.060362428,,,
KNN,Write,FIBRE-NG,0.001338342,0.026080243,0.036583363,6.773585833,,,
LSTM,Write,FIBRE-NG,4.9305E-06,0.001759842,0.002220475,0.683883444,,,
LSTM,Write,FIBRE-NG,4.6411E-06,0.001789636,0.002154324,0.414815926,,,
LSTM,Write,FIBRE-NG,7.8931E-06,0.002280782,0.002809475,2.067658558,,,
LSTM,Write,FIBRE-NG,4.7871E-06,0.001695812,0.002187936,1.246645203,,,
LSTM,Write,FIBRE-NG,2.2155E-06,0.001117103,0.001488471,0.723442622,,,
LSTM,Write,FIBRE-NG,0.000003496,0.001398307,0.001869753,0.289667198,,,
LSTM,Write,FIBRE-NG,4.2381E-06,0.001619589,0.002058677,0.667442828,,,
LSTM,Write,FIBRE-NG,3.5123E-06,0.001522382,0.001874112,0.401803071,,,
LSTM,Write,FIBRE-NG,2.6866E-06,0.001182939,0.00163907,1.123046802,,,
LSTM,Write,FIBRE-NG,2.7124E-06,0.001203927,0.001646951,0.339985515,,,
RF,Write,FIBRE-NG,6.183E-07,0.00033491,0.000786303,0.264773386,,,
RF,Write,FIBRE-NG,1.0528E-06,0.000330835,0.00102605,0.113709766,,,
RF,Write,FIBRE-NG,1.5382E-06,0.000368013,0.001240252,0.246772926,,,
RF,Write,FIBRE-NG,9.1229E-06,0.000542472,0.003020407,0.114793057,,,
RF,Write,FIBRE-NG,4.648E-07,0.000323743,0.000681785,0.130265415,,,
RF,Write,FIBRE-NG,1.1442E-06,0.000390235,0.001069677,0.15242868,,,
RF,Write,FIBRE-NG,1.6004E-06,0.000380087,0.001265072,0.163937581,,,
RF,Write,FIBRE-NG,1.0854E-06,0.000318436,0.001041813,0.162283911,,,
RF,Write,FIBRE-NG,0.000000419,0.000314976,0.000647265,0.158883151,,,
RF,Write,FIBRE-NG,7.061E-07,0.000319546,0.000840275,0.292027582,,,
XGBoost,Write,FIBRE-NG,5.6281E-06,0.001119009,0.00237236,0.389966445,,,
XGBoost,Write,FIBRE-NG,6.2373E-06,0.001094697,0.002497451,0.473406275,,,
XGBoost,Write,FIBRE-NG,6.0035E-06,0.001159359,0.002450206,0.485966336,,,
XGBoost,Write,FIBRE-NG,4.0315E-06,0.001013471,0.002007865,0.449412114,,,
XGBoost,Write,FIBRE-NG,5.2239E-06,0.001155437,0.002285592,0.395625842,,,
XGBoost,Write,FIBRE-NG,3.9223E-06,0.00107407,0.00198048,1.055647412,,,
XGBoost,Write,FIBRE-NG,9.8556E-06,0.001267794,0.003139366,1.344874824,,,
XGBoost,Write,FIBRE-NG,3.2296E-06,0.001003984,0.00179711,0.595326093,,,
XGBoost,Write,FIBRE-NG,5.3705E-06,0.001069398,0.002317435,0.374442008,,,
XGBoost,Write,FIBRE-NG,6.9963E-06,0.001237326,0.002645052,1.054530324,,,
